t,dt,fps,state,laser_x,laser_y,target_x,target_y,dx,dy,err_px,vx,vy,velocity,servo_x,servo_y,locked,t_lock,lost_counter
0.0005,0.1,10,TESTTWO,368,10,382,355,278,768.001,507.601,3550.0,2780.0,4509,920.589,86.0,94.0,0,0.0
0.0187,0.0244,41,TESTTWO,368,41,382,358,280,17.026,-83.982,122.841,81.894,148,85.691,85.475,91.408,0,0.0
0.0806,0.0135,74,TESTTWO,371,74,383,363,283,73.366,-51.18,369.842,221.905,431,89.454,83.21,89.828,0,0.0
0.1504,0.0622,16,TESTTWO,393,16,386,363,283,-29.999,-102.999,0,0,0,107.279,84.136,86.649,0,0.0
0.2791,0.0713,14,TESTTWO,424,14,363,357,276,-85.523,-108.61,-84.2,-98.234,129,138.24,86.776,83.297,0,0.0
0.348,0.1,10,TESTTWO,425,10,350,361,275,-55.199,-74.999,40.0,0,40,93.122,88.479,80.982,0,0.0
0.4133,0.0709,14,TESTTWO,424,14,332,368,272,-34.266,-69.313,98.786,-42.337,107,77.321,89.537,78.843,0,0.0
0.4784,0.0644,16,TESTTWO,401,16,307,370,268,-24.171,-52.655,31.037,-62.074,69,57.938,90.283,77.218,0,0.0
0.5462,0.064,16,TESTTWO,383,16,288,367,264,-26.316,-37.755,-46.894,-62.525,78,46.021,91.095,76.053,0,0.0
0.6152,0.0697,14,TESTTWO,373,14,276,360,262,-35.102,-13.999,-100.466,0,100,37.79,92.178,75.621,0,0.0
0.6788,0.0689,15,TESTTWO,366,15,271,352,261,-39.547,-9.999,-116.127,0,116,40.791,93.399,75.312,0,0.0
0.7426,0.0617,16,TESTTWO,359,16,267,347,260,-29.834,-6.999,-81.07,0,81,30.644,94.32,75.096,0,0.0
0.8114,0.0659,15,TESTTWO,355,15,259,348,260,-6.999,1.001,0,0,0,7.07,94.536,75.127,0,0.0659
0.879,0.0681,15,TESTTWO,350,15,258,354,260,23.371,2.001,88.044,0,88,23.456,93.815,75.189,0,0.1341
0.9432,0.0664,15,TESTTWO,347,15,257,361,259,37.189,2.001,105.402,0,105,37.243,92.667,75.25,0,0.0
1.0108,0.066,15,TESTTWO,347,15,257,363,257,22.663,-6.661,30.282,-30.282,43,23.622,91.967,75.045,0,0.066
1.0752,0.067,15,TESTTWO,347,15,258,359,256,-1.141,-1.999,-59.737,0,60,2.302,91.967,75.045,0,0.133
1.143,0.0633,16,TESTTWO,348,16,258,352,255,-20.333,-2.999,-110.611,0,111,20.553,92.595,74.952,0,0.1963
1.2124,0.0689,15,TESTTWO,356,15,258,344,251,-37.525,-19.762,-116.028,-58.014,130,42.411,93.753,74.342,0,0.0
1.2726,0.0692,14,TESTTWO,359,14,254,339,250,-35.889,-3.999,-72.229,0,72,36.112,94.861,74.219,0,0.0
1.3405,0.0589,17,TESTTWO,359,17,251,338,250,-20.999,-0.999,0,0,0,21.023,95.509,74.188,0,0.0589
1.405,0.0692,14,TESTTWO,354,14,252,342,250,0.718,-1.999,57.805,0,58,2.124,95.509,74.188,0,0.1281
1.4732,0.0641,16,TESTTWO,342,16,252,348,251,26.602,-0.999,93.642,0,94,26.621,94.688,74.157,0,0.0
1.5377,0.0673,15,TESTTWO,336,15,251,351,250,24.812,-0.999,44.597,0,45,24.832,93.922,74.126,0,0.0673
1.6055,0.0669,15,TESTTWO,335,15,251,351,249,16.001,-1.999,0,0,0,16.125,93.428,74.065,0,0.1341
1.6729,0.0666,15,TESTTWO,337,15,251,347,248,-3.216,-2.999,-60.075,0,60,4.397,93.428,74.065,0,0.2007
1.7364,0.0661,15,TESTTWO,344,15,251,342,246,-18.648,-11.659,-75.677,-30.271,82,21.993,94.004,73.705,0,0.2668
1.8064,0.0655,15,TESTTWO,347,15,251,336,245,-31.141,-5.999,-91.555,0,92,31.714,94.965,73.52,0,0.0
1.8696,0.0692,14,TESTTWO,347,14,251,334,245,-12.999,-5.999,0,0,0,14.316,95.366,73.335,0,0.0692
1.9369,0.0622,16,TESTTWO,347,16,243,337,249,0.605,20.14,48.201,64.268,80,20.149,95.347,73.956,0,0.1314
2.0051,0.069,14,TESTTWO,345,14,242,346,255,29.705,32.137,130.471,86.98,157,43.762,94.431,74.948,0,0.0
2.069,0.0676,15,TESTTWO,338,15,242,357,257,54.818,15.001,162.803,0,163,56.833,92.739,75.411,0,0.0
2.1363,0.0629,16,TESTTWO,336,16,242,366,258,61.488,16.001,143.121,0,143,63.536,90.841,75.905,0,0.0
2.2008,0.069,14,TESTTWO,341,14,242,369,259,37.564,17.001,43.466,0,43,41.232,89.682,76.43,0,0.0
2.2689,0.0637,16,TESTTWO,359,16,243,369,263,10.001,33.82,0,62.813,63,35.267,89.373,77.473,0,0.0
2.3363,0.0669,15,TESTTWO,369,15,245,365,264,-17.154,19.001,-59.795,0,60,25.599,89.902,78.06,0,0.0
2.4005,0.0694,14,TESTTWO,369,14,245,357,264,-37.345,19.001,-115.211,0,115,41.901,91.055,78.646,0,0.0
2.4686,0.0634,16,TESTTWO,370,16,268,350,260,-44.299,-21.885,-110.454,-63.116,127,49.41,92.422,77.971,0,0.0
2.5323,0.0671,15,TESTTWO,370,15,268,349,258,-20.999,-9.999,0,0,0,23.258,93.07,77.662,0,0.0671
2.6005,0.0657,15,TESTTWO,364,15,268,351,258,-6.301,-9.999,30.446,0,30,11.819,93.265,77.354,0,0.1328
2.6702,0.0673,15,TESTTWO,354,15,268,356,260,18.344,-7.999,74.288,0,74,20.012,92.699,77.107,0,0.2001
2.7329,0.0689,15,TESTTWO,353,15,267,360,261,19.765,-5.999,58.02,0,58,20.656,92.089,76.922,0,0.269
2.8006,0.0642,16,TESTTWO,353,16,267,364,261,24.707,-5.999,62.302,0,62,25.425,91.326,76.736,0,0.0
2.8649,0.0672,15,TESTTWO,353,15,268,365,263,12.001,-4.999,0,0,0,13.001,90.956,76.582,0,0.0672
2.9323,0.0628,16,TESTTWO,353,16,268,363,263,2.993,-4.999,-31.852,0,32,5.827,90.956,76.582,0,0.13
3.0005,0.0689,15,TESTTWO,357,15,268,360,264,-6.58,-3.999,-43.548,0,44,7.699,91.159,76.459,0,0.1989
3.0644,0.0682,15,TESTTWO,357,15,268,358,265,1.001,-2.999,0,0,0,3.162,91.159,76.459,0,0.267
3.1324,0.0628,16,TESTTWO,364,16,268,357,265,-6.999,-2.999,0,0,0,7.614,91.375,76.366,0,0.3298
3.1965,0.069,14,TESTTWO,364,14,268,360,266,5.563,-1.999,43.463,0,43,5.911,91.375,76.366,0,0.3989
3.2646,0.0641,16,TESTTWO,364,16,268,363,266,9.3,-1.999,46.816,0,47,9.513,91.088,76.304,0,0.4629
3.3324,0.0667,15,TESTTWO,364,15,268,366,266,11.893,-1.999,44.964,0,45,12.06,90.721,76.243,0,0.5297
3.3965,0.0692,14,TESTTWO,364,14,268,369,267,14.532,-0.999,43.323,0,43,14.566,90.272,76.212,0,0.5989
3.4651,0.0639,16,TESTTWO,364,16,268,370,268,6.001,0.001,0,0,0,6.001,90.272,76.212,0,0.6629
3.5284,0.0674,15,TESTTWO,364,15,268,368,268,4.001,0.001,0,0,0,4.001,90.272,76.212,0,0.7302
3.5969,0.0652,15,TESTTWO,364,15,267,365,268,-9.124,1.001,-46.022,0,46,9.179,90.554,76.243,0,0.7954
3.6621,0.0679,15,TESTTWO,364,15,267,363,268,-0.999,1.001,0,0,0,1.414,90.554,76.243,0,0.8634
3.7286,0.0639,16,TESTTWO,364,16,267,363,268,-0.999,1.001,0,0,0,1.414,90.554,76.243,0,0.9272
3.7967,0.068,15,TESTTWO,364,15,268,364,268,0.001,0.001,0,0,0,0.001,90.554,76.243,0,0.9952
3.8613,0.068,15,TESTTWO,364,15,267,365,268,1.001,1.001,0,0,0,1.416,90.554,76.243,0,1.0632
3.9288,0.0636,16,TESTTWO,364,16,267,367,267,9.917,0.001,31.439,0,31,9.917,90.247,76.243,0,1.1268
3.9929,0.0692,14,TESTTWO,364,14,267,368,267,4.001,0.001,0,0,0,4.001,90.247,76.243,0,1.196
4.0604,0.0655,15,TESTTWO,364,15,267,367,267,3.001,0.001,0,0,0,3.001,90.247,76.243,0,1.2616
4.1283,0.0641,16,TESTTWO,364,16,267,365,266,-5.862,-0.999,-31.195,0,31,5.946,90.247,76.243,0,1.3257
4.1924,0.0691,14,TESTTWO,364,14,268,362,265,-11.546,-2.999,-43.396,0,43,11.929,90.604,76.15,0,1.3948
4.2606,0.0639,16,TESTTWO,364,16,268,360,264,-10.888,-3.999,-31.311,0,31,11.599,90.94,76.027,0,1.4587
4.3244,0.0671,15,TESTTWO,364,15,268,359,264,-4.999,-3.999,0,0,0,6.402,90.94,76.027,0,1.5258
4.3924,0.0656,15,TESTTWO,364,15,268,359,264,-4.999,-3.999,0,0,0,6.402,90.94,76.027,0,1.5914
4.4604,0.0674,15,TESTTWO,364,15,268,361,264,-2.999,-3.999,0,0,0,4.999,90.94,76.027,0,1.6588
4.5244,0.0667,15,TESTTWO,364,15,268,362,264,-1.999,-3.999,0,0,0,4.471,90.94,76.027,0,1.7255
4.5923,0.066,15,TESTTWO,364,15,268,363,264,-0.999,-3.999,0,0,0,4.122,90.94,76.027,0,1.7915
4.6567,0.0672,15,TESTTWO,364,15,268,363,264,-0.999,-3.999,0,0,0,4.122,90.94,76.027,0,1.8587
4.7243,0.0631,16,TESTTWO,364,16,268,362,263,-1.999,-4.999,0,0,0,5.384,90.94,76.027,0,1.9218
4.7927,0.0696,14,TESTTWO,364,14,268,360,263,-3.999,-4.999,0,0,0,6.402,90.94,76.027,0,1.9914
4.8566,0.0677,15,TESTTWO,364,15,268,359,263,-4.999,-4.999,0,0,0,7.07,91.094,75.873,0,2.0591
4.9244,0.0626,16,TESTTWO,364,16,268,358,263,-5.999,-4.999,0,0,0,7.809,91.279,75.718,0,2.1217
4.9886,0.0699,14,TESTTWO,364,14,267,359,263,-4.999,-3.999,0,0,0,6.402,91.279,75.718,0,2.1915
5.0565,0.0633,16,TESTTWO,364,16,259,361,263,3.947,4.001,31.573,0,32,5.62,91.279,75.718,0,2.2549
5.1244,0.0669,15,TESTTWO,364,15,257,362,264,-1.999,7.001,0,0,0,7.281,91.341,75.934,0,2.3218
5.1886,0.0698,14,TESTTWO,364,14,256,363,264,-0.999,8.001,0,0,0,8.063,91.372,76.181,0,2.3916
5.2569,0.0634,16,TESTTWO,364,16,257,363,265,-0.999,8.001,0,0,0,8.063,91.403,76.428,0,2.4549
5.3205,0.067,15,TESTTWO,364,15,256,363,266,-0.999,10.001,0,0,0,10.051,91.434,76.737,0,2.5219
5.3885,0.0659,15,TESTTWO,364,15,257,363,266,-0.999,9.001,0,0,0,9.056,91.464,77.015,0,2.5878
5.4568,0.067,15,TESTTWO,364,15,256,363,266,-0.999,10.001,0,0,0,10.051,91.495,77.323,0,2.6548
5.5204,0.0675,15,TESTTWO,364,15,256,364,267,0.001,11.001,0,0,0,11.001,91.495,77.663,0,2.7223
5.5889,0.0651,15,TESTTWO,364,15,256,365,268,1.001,12.001,0,0,0,12.043,91.464,78.033,0,2.7875
5.6529,0.0679,15,TESTTWO,364,15,256,367,269,3.001,13.001,0,0,0,13.343,91.372,78.435,0,2.8554
5.7204,0.0629,16,TESTTWO,364,16,258,368,269,4.001,11.001,0,0,0,11.706,91.248,78.774,0,2.9182
