trial_id,goal_x,goal_y,lock_in_time_s
0,64.0,48.0,1.29288187200018
1,64.0,96.0,1.2235261209998498
2,64.0,144.0,1.1608744820000538
3,64.0,192.0,1.227076422999744
4,64.0,240.0,1.1604494759999398
5,64.0,288.0,1.1602735840001515
6,64.0,336.0,1.1581312250000337
7,64.0,384.0,1.1550944360001267
8,64.0,432.0,1.1599587440000505
9,128.0,48.0,1.1602194269999018
10,128.0,96.0,1.0281983380000383
11,128.0,144.0,1.0938213320000614
12,128.0,192.0,1.091547472000002
13,128.0,240.0,1.023822079999718
14,128.0,288.0,1.0924871000001986
15,128.0,336.0,1.092303838999669
16,128.0,384.0,1.0366400170000816
17,128.0,432.0,1.023211125999751
18,192.0,48.0,1.0265810589999091
19,192.0,96.0,0.8962772370000494
20,192.0,144.0,0.8924849469999572
21,192.0,192.0,0.8920977039997524
22,192.0,240.0,1.024456638999709
23,192.0,288.0,0.9604228510002031
24,192.0,336.0,0.9617373529999895
25,192.0,384.0,0.8952012630002173
26,192.0,432.0,1.0950773440004014
27,256.0,48.0,0.8962952619999669
28,256.0,96.0,0.896808596000028
29,256.0,144.0,0.8495532990000356
30,256.0,192.0,0.8265830499999538
31,256.0,240.0,0.8267427149999094
32,256.0,288.0,0.8283094969997364
33,256.0,336.0,0.7632377070003713
34,256.0,384.0,0.8288371430003281
35,256.0,432.0,0.8931817799998498
36,320.0,48.0,0.9079760599997826
37,320.0,96.0,0.8671988000000965
38,320.0,144.0,0.8273674120000578
39,320.0,192.0,0.830156549000094
40,320.0,240.0,0.7593365770003402
41,320.0,288.0,0.6916142449999825
42,320.0,336.0,0.6977025380001578
43,320.0,384.0,0.7641767909999544
44,320.0,432.0,1.0279807080000865
45,384.0,48.0,1.2277123759999995
46,384.0,96.0,0.8286064429998987
47,384.0,144.0,0.8275352350001413
48,384.0,192.0,0.8297889620002934
49,384.0,240.0,0.6284432510001352
50,384.0,288.0,0.6917947359997925
51,384.0,336.0,0.6963196729998344
52,384.0,384.0,0.8267864499998723
53,384.0,432.0,0.8929785710001852
54,448.0,48.0,2.6194380659999297
55,448.0,96.0,0.8279911140002696
56,448.0,144.0,0.8281502069999078
57,448.0,192.0,0.8179242889996203
58,448.0,240.0,0.7579866269998092
59,448.0,288.0,1.0255081400000563
60,448.0,336.0,0.7619903949998843
61,448.0,384.0,0.7595268129998658
62,448.0,432.0,0.8924721680000403
63,512.0,48.0,1.6874097199997777
64,512.0,96.0,1.224090977999822
65,512.0,144.0,0.8284100289997696
66,512.0,192.0,0.8913406409997151
67,512.0,240.0,0.8917122699999709
68,512.0,288.0,0.8929016790002606
69,512.0,336.0,0.8272617070001616
70,512.0,384.0,0.8280204859997866
71,512.0,432.0,0.8929602509997494
72,576.0,48.0,1.4914267320000363
73,576.0,96.0,1.8916772190000302
74,576.0,144.0,0.9592912179996347
75,576.0,192.0,1.0891192650001358
76,576.0,240.0,0.9599349759996585
77,576.0,288.0,1.0274583010000242
78,576.0,336.0,1.0241071069999634
79,576.0,384.0,0.959147154999755
80,576.0,432.0,0.966085301000021
