t,dt,state,laser_x,laser_y,target_x,target_y,dx,dy,err_px,servo_x,servo_y,confidence,accuracy,locked,t_lock,lost_counter
0.5055,0.1,TEST,356,347,64,96,-292.0,-251.0,385.052,90,90,0.0,0.0,0,0,0
0.5336,0.01,TEST,356,348,64,96,-292.0,-252.0,385.705,93,87,0.0,0.0,0,0.0,0
0.5953,0.0309,TEST,354,345,64,96,-290.0,-249.0,382.232,96,84,0.0,0.0,0,0.0,0
0.6836,0.06,TEST,331,317,64,96,-267.0,-221.0,346.598,99,81,0.0,0.0,0,0.0,0
0.7366,0.092,TEST,305,287,64,96,-241.0,-191.0,307.509,102,78,0.0,0.0,0,0.0,0
0.7954,0.0502,TEST,281,261,64,96,-217.0,-165.0,272.606,105,75,0.0,0.0,0,0.0,0
0.8606,0.0586,TEST,258,239,64,96,-194.0,-143.0,241.008,108,72,0.0,0.0,0,0.0,0
0.929,0.0632,TEST,234,215,64,96,-170.0,-119.0,207.511,111,69,0.0,0.0,0,0.0,0
0.9957,0.0722,TEST,212,191,64,96,-148.0,-95.0,175.866,114,66,0.0,0.0,0,0.0,0
1.0614,0.065,TEST,191,168,64,96,-127.0,-72.0,145.99,117,63.139,0.0,0.0,0,0.0,0
1.1276,0.0649,TEST,168,141,64,96,-104.0,-45.0,113.318,120,60.97,0.0,0.0,0,0.0,0
1.1917,0.0673,TEST,142,113,64,96,-78.0,-17.0,79.831,123,59.615,0.0,0.0,0,0.0,0
1.2594,0.0627,TEST,113,95,64,96,-49.0,1.0,49.01,125.349,59.103,0.0,0.0,0,0.0,0
1.3274,0.067,TEST,94,93,64,96,-30.0,3.0,30.15,126.825,59.133,0.0,0.0,0,0.0,0
1.3919,0.0701,TEST,81,93,64,96,-17.0,3.0,17.263,127.729,59.223,0.0,0.0,0,0.0,0
1.4597,0.0631,TEST,68,93,64,96,-4.0,3.0,5.0,128.241,59.313,0.0,0.0,0,0.0701,0
1.5235,0.0675,TEST,60,92,64,96,4.0,4.0,5.657,128.241,59.313,0.0,0.0,0,0.1332,0
1.5913,0.0656,TEST,58,92,64,96,6.0,4.0,7.211,128.241,59.313,0.0,0.0,0,0.2007,0
1.6596,0.0662,TEST,58,92,64,96,6.0,4.0,7.211,128.06,59.434,0.0,0.0,0,0.2663,0
1.7237,0.0686,TEST,58,92,64,96,6.0,4.0,7.211,127.879,59.554,0.0,0.0,0,0.3325,0
1.7917,0.0654,TEST,58,92,64,96,6.0,4.0,7.211,127.699,59.675,0.0,0.0,0,0.4011,0
1.8574,0.0666,TEST,57,93,64,96,7.0,3.0,7.616,127.518,59.796,0.0,0.0,0,0.4665,0
2.4293,0.1,TEST,357,344,64,144,-293.0,-200.0,354.752,90,90,0.0,0.0,0,0,0
2.4563,0.0125,TEST,357,343,64,144,-293.0,-199.0,354.189,93,87.157,0.0,0.0,0,0.0,0
2.5205,0.0268,TEST,355,343,64,144,-291.0,-199.0,352.537,96,84.157,0.0,0.0,0,0.0,0
2.5884,0.0643,TEST,333,317,64,144,-269.0,-173.0,319.828,99,81.157,0.0,0.0,0,0.0,0
2.6565,0.0673,TEST,304,284,64,144,-240.0,-140.0,277.849,102,78.157,0.0,0.0,0,0.0,0
2.7206,0.0665,TEST,282,260,64,144,-218.0,-116.0,246.941,105,75.157,0.0,0.0,0,0.0,0
2.7874,0.0657,TEST,258,237,64,144,-194.0,-93.0,215.139,108,72.157,0.0,0.0,0,0.0,0
2.8531,0.0661,TEST,233,213,64,144,-169.0,-69.0,182.543,111,69.355,0.0,0.0,0,0.0,0
2.92,0.0651,TEST,211,189,64,144,-147.0,-45.0,153.734,114,67.277,0.0,0.0,0,0.0,0
2.9834,0.0683,TEST,191,170,64,144,-127.0,-26.0,129.634,117,65.922,0.0,0.0,0,0.0,0
3.0528,0.0632,TEST,166,151,64,144,-102.0,-7.0,102.24,120,65.139,0.0,0.0,0,0.0,0
3.1207,0.0682,TEST,141,138,64,144,-77.0,6.0,77.233,123,64.928,0.0,0.0,0,0.0,0
3.1842,0.0689,TEST,116,136,64,144,-52.0,8.0,52.612,125.319,65.109,0.0,0.0,0,0.0,0
3.2536,0.0634,TEST,94,135,64,144,-30.0,9.0,31.321,126.885,65.35,0.0,0.0,0,0.0,0
3.3165,0.0698,TEST,82,135,64,144,-18.0,9.0,20.125,127.789,65.621,0.0,0.0,0,0.0,0
3.3851,0.0646,TEST,75,135,64,144,-11.0,9.0,14.213,128.331,65.892,0.0,0.0,0,0.0698,0
3.4518,0.067,TEST,62,134,64,144,2.0,10.0,10.198,128.662,66.163,0.0,0.0,0,0.1344,0
3.5155,0.0652,TEST,61,135,64,144,3.0,9.0,9.487,128.602,66.464,0.0,0.0,0,0.2014,0
3.5834,0.0651,TEST,61,134,64,144,3.0,10.0,10.44,128.512,66.735,0.0,0.0,0,0.2666,0
3.6509,0.067,TEST,60,134,64,144,4.0,10.0,10.77,128.421,67.037,0.0,0.0,0,0.3317,0
3.7185,0.0674,TEST,60,135,64,144,4.0,9.0,9.849,128.301,67.338,0.0,0.0,0,0.3988,0
3.788,0.0698,TEST,61,140,64,144,3.0,4.0,5.0,128.18,67.609,0.0,0.0,0,0.4661,0
4.3589,0.1,TEST,357,344,64,192,-293.0,-152.0,330.08,90,90,0.0,0.0,0,0,0
4.3824,0.0136,TEST,357,344,64,192,-293.0,-152.0,330.08,93,88.602,0.0,0.0,0,0.0,0
4.4477,0.0255,TEST,354,344,64,192,-290.0,-152.0,327.42,96,85.602,0.0,0.0,0,0.0,0
4.5139,0.0631,TEST,329,322,64,192,-265.0,-130.0,295.169,99,82.602,0.0,0.0,0,0.0,0
4.5798,0.0661,TEST,301,289,64,192,-237.0,-97.0,256.082,102,79.602,0.0,0.0,0,0.0,0
4.6436,0.0674,TEST,280,266,64,192,-216.0,-74.0,228.324,105,76.681,0.0,0.0,0,0.0,0
4.7125,0.0627,TEST,256,242,64,192,-192.0,-50.0,198.404,108,74.452,0.0,0.0,0,0.0,0
4.7795,0.0679,TEST,231,223,64,192,-167.0,-31.0,169.853,111,72.946,0.0,0.0,0,0.0,0
4.8435,0.069,TEST,213,209,64,192,-149.0,-17.0,149.967,114,72.012,0.0,0.0,0,0.0,0
4.9117,0.0634,TEST,190,203,64,192,-126.0,-11.0,126.479,117,71.5,0.0,0.0,0,0.0,0
4.9765,0.0676,TEST,165,198,64,192,-101.0,-6.0,101.178,120,71.169,0.0,0.0,0,0.0,0
5.0434,0.0658,TEST,142,196,64,192,-78.0,-4.0,78.102,123,70.988,0.0,0.0,0,0.0,0
5.1122,0.0664,TEST,114,190,64,192,-50.0,2.0,50.04,125.349,70.868,0.0,0.0,0,0.0,0
5.1762,0.0678,TEST,94,184,64,192,-30.0,8.0,31.048,126.855,70.928,0.0,0.0,0,0.0,0
5.2434,0.0659,TEST,84,185,64,192,-20.0,7.0,21.19,127.759,71.169,0.0,0.0,0,0.0,0
5.3098,0.0679,TEST,71,184,64,192,-7.0,8.0,10.63,128.361,71.38,0.0,0.0,0,0.0659,0
5.3768,0.0641,TEST,57,184,64,192,7.0,8.0,10.63,128.572,71.621,0.0,0.0,0,0.1338,0
5.4397,0.068,TEST,60,184,64,192,4.0,8.0,8.944,128.361,71.862,0.0,0.0,0,0.1979,0
5.5091,0.0626,TEST,60,183,64,192,4.0,9.0,9.849,128.241,72.103,0.0,0.0,0,0.2659,0
5.5759,0.0684,TEST,61,184,64,192,3.0,8.0,8.544,128.12,72.374,0.0,0.0,0,0.3285,0
5.6423,0.069,TEST,62,184,64,192,2.0,8.0,8.246,128.03,72.615,0.0,0.0,0,0.3969,0
5.708,0.0659,TEST,60,184,64,192,4.0,8.0,8.944,127.97,72.856,0.0,0.0,0,0.4659,0
6.2775,0.1,TEST,354,344,64,240,-290.0,-104.0,308.084,90,90,0.0,0.0,0,0,0
